637,428,318,314,509,617
371,602,352,537,133,567
556,836,565,720,350,350
422,432,652,583,357,638
678,669,791,353,859,418
244,877,268,447,266,275
796,448,505,775,491,292
666,608,440,601,456,409
734,798,706,512,114,377
619,260,409,239,533,547
731,597,354,756,136,153
479,720,485,245,511,566
593,178,866,636,740,832
486,165,828,276,172,222
471,779,255,387,403,112
216,461,664,687,707,257
455,584,621,582,743,522
263,383,365,461,744,218
567,589,117,508,699,886
644,775,739,215,481,230
354,466,186,504,512,225
636,807,651,555,484,231
628,495,720,614,439,162
502,598,733,265,240,675
