316,716,818,345,129,531
292,801,855,469,346,259
507,431,763,625,231,533
694,553,887,263,246,576
228,579,346,529,703,301
686,141,487,683,748,215
263,181,155,280,235,254
428,685,754,423,200,570
743,119,296,637,231,222
305,451,890,597,604,818
688,779,513,465,731,181
570,486,467,288,839,263
691,104,630,580,898,437
772,821,369,666,783,260
750,170,845,253,446,282
438,631,531,731,759,165
668,459,632,277,808,346
619,120,881,557,131,624
752,166,352,297,101,892
553,542,174,410,527,591
726,646,667,749,341,562
266,652,770,484,570,431
