418,208,461,607,791,651
760,216,307,589,803,211
212,822,636,694,164,786
608,404,291,314,346,273
691,624,700,417,195,527
643,680,664,746,665,448
336,630,421,692,783,409
376,753,885,385,545,352
426,531,554,472,815,753
729,698,367,799,233,454
580,408,667,576,572,664
616,478,169,353,616,139
655,162,192,660,128,303
441,611,808,355,635,727
256,783,230,691,253,281
789,842,775,614,849,782
430,864,546,263,640,755
580,188,191,668,683,629
487,815,306,434,349,770
222,704,682,477,649,705
336,899,384,616,558,866
256,360,855,434,267,213
466,466,784,234,292,583
