377,676,760,0.987405869113102,-11.8553538055641,0,580,778,851,11.1965231361939,-4.29973282794525,0
315,830,240,-5.22111482423188,10.5435273832274,0,418,320,162,13.7166440797197,13.2242013487907,0
760,280,751,-0.974626392835141,-4.96938663709082,0,718,354,293,4.44935040189664,3.84582437789394,0
601,193,860,-6.10207016230023,-3.02471041068634,0,656,200,273,-2.47686264068086,9.14625762305903,0
784,132,259,-3.11434857984373,1.32705856721684,0,688,657,531,14.6845405754016,14.8886786299633,0
713,568,888,3.50280093301055,-1.25307526524224,0,489,356,178,8.28370464785474,11.3939096366909,0
641,819,282,-5.42796828883558,-9.47411701501344,0,412,213,549,3.73467021581369,-6.76471002772209,0
585,528,208,-3.38374929079206,-0.778923453485007,0,662,104,100,3.20767652724597,5.93292163412514,0
720,704,822,6.18979997568394,-14.1022041522108,0,272,436,527,9.15829064831998,-11.2820556990955,0
434,433,445,2.72543192568168,-10.4596667182796,0,500,816,269,11.9226846498544,-8.14367458889052,0
224,281,482,-11.4781987526386,-7.52369545847184,0,491,869,651,-2.02690487411918,7.66383267670082,0
407,547,768,-12.1382788925798,-6.16994821261378,0,336,875,296,-4.22299179775961,9.95869613053568,0
693,436,356,-13.5017700611241,-10.0936604971337,0,660,814,650,-4.59153027586661,1.97097278838576,0
396,562,409,-10.0411971028781,-14.4251209974607,0,352,371,845,1.1411601553863,2.95398105885597,0
750,773,682,-8.82648909325179,-14.9624172745701,0,727,800,434,14.0788559108581,1.97866307067097,0
578,640,874,-9.67103832045148,-0.667527140937251,0,244,315,751,-0.0590053034661793,0.0157676911499749,0
607,160,601,0.667334849548592,9.35130342795799,0,721,547,710,6.7009141505343,13.3761775742738,0
415,557,782,-0.243789993839767,-4.69959245124226,0,430,149,107,6.43838123697107,8.94230984550355,0
292,184,331,-6.08169099178189,-6.53267050209998,0,484,587,897,1.84539884002445,1.27002120505355,0
689,354,284,10.3216514735834,-7.48500599393785,0,398,866,235,14.0426708722496,0.093927096293891,0
733,651,888,-3.26481611590568,-12.3122711532743,0,773,155,511,12.0473361342306,-8.59628844253786,0
350,102,655,-13.4434679824024,-3.64572632197584,0,293,698,387,-8.44020555135438,0.771825225658375,0
232,443,403,4.00299666308334,-5.85470573691599,0,658,637,334,11.7902508401013,8.53757945228202,0
