349,691,112,351,740,811
606,144,647,543,604,772
589,706,803,734,887,295
622,471,445,739,226,448
703,136,605,791,593,763
637,774,569,739,347,222
533,585,339,669,234,782
759,642,529,531,372,888
319,891,367,520,154,732
515,895,290,502,623,380
649,320,186,284,707,304
696,111,511,629,249,594
610,134,794,375,316,165
614,244,885,202,153,588
519,260,361,610,367,536
313,676,275,697,139,785
496,454,515,745,181,614
536,777,382,315,157,317
697,412,788,447,824,185
321,770,308,421,349,148
517,699,775,587,574,598
685,567,566,716,402,659
529,523,375,205,694,437
631,470,107,304,810,393
321,404,254,403,579,165
