616,175,152,458,479,237
322,680,638,594,698,343
237,830,486,575,636,696
574,169,496,633,737,565
613,516,351,314,318,661
378,542,359,439,327,744
543,648,828,740,674,782
686,582,699,476,767,626
419,259,248,345,235,703
619,626,168,451,863,662
580,659,265,345,678,584
779,468,547,320,207,130
320,226,630,211,783,256
559,437,852,233,846,364
250,577,132,495,551,614
397,301,172,228,308,265
626,851,749,674,122,887
717,624,420,640,859,588
501,703,624,387,897,298
360,432,621,398,490,308
484,681,353,731,202,191
296,211,313,458,471,540
