716,608,884,760,668,293
770,276,706,445,295,781
405,146,411,379,409,533
425,733,374,721,772,888
751,822,888,310,560,459
227,389,780,588,701,505
310,248,427,598,180,723
780,729,889,391,787,886
419,333,253,365,201,511
436,391,315,689,546,725
532,727,142,330,814,668
513,314,285,756,842,542
703,588,442,338,447,693
284,179,409,390,872,642
572,508,198,459,408,707
486,707,170,698,504,235
733,376,160,582,151,556
686,362,458,384,354,215
310,721,799,605,551,672
548,767,835,293,566,118
572,244,720,780,169,314
264,736,430,586,844,832
679,384,878,560,231,480
661,431,553,471,770,408
