372,536,598,385,192,344
770,601,199,418,151,137
258,157,262,596,807,425
731,762,772,404,347,761
717,140,547,458,841,298
592,256,225,236,875,584
747,386,598,577,556,688
464,869,142,381,306,799
451,551,217,550,715,862
217,107,183,622,403,846
790,430,394,703,132,547
677,135,223,251,164,656
679,207,786,630,670,253
307,220,427,306,774,792
609,815,401,657,428,875
495,469,428,399,116,353
341,549,403,235,353,151
593,109,449,253,109,415
581,506,888,370,714,120
514,448,776,505,644,659
288,171,685,271,545,785
533,482,337,442,551,304
612,288,294,459,835,470
702,816,649,783,382,764
