721,833,623,410,330,225
556,883,307,228,135,693
307,844,690,588,294,708
649,283,154,304,213,434
651,812,689,288,433,441
401,413,142,577,716,664
578,348,584,374,810,510
236,752,864,484,422,728
206,362,458,298,233,611
440,249,632,292,688,670
613,880,196,625,623,376
799,613,366,518,630,797
432,683,598,630,637,408
478,539,601,412,485,322
220,344,663,543,256,127
518,705,335,706,334,404
533,108,511,770,260,645
762,844,277,793,423,478
484,578,500,352,218,259
292,245,287,591,181,250
291,122,714,652,424,277
444,804,108,684,645,438
673,128,613,726,385,511
793,540,522,333,723,643
