296,280,151,519,130,443
747,895,557,217,737,379
437,640,766,748,449,283
246,850,136,316,555,767
355,428,839,531,329,522
237,802,635,514,108,434
414,712,545,600,463,735
369,741,573,235,704,563
354,392,149,662,264,251
217,731,669,704,477,237
637,165,474,350,129,292
553,327,829,527,620,529
293,631,120,693,392,547
771,529,596,256,721,588
275,681,308,508,138,608
727,634,372,718,395,880
540,611,648,527,193,450
566,830,253,237,865,360
719,189,472,204,740,226
471,383,295,361,499,822
591,399,637,310,245,638
