304,376,423,340,354,741
509,817,342,272,272,230
263,217,515,320,322,737
484,411,260,705,563,895
527,715,722,512,635,345
647,892,357,213,172,676
226,481,594,326,778,517
338,236,693,708,758,584
276,723,305,585,577,350
749,476,398,458,881,753
232,473,783,721,421,746
240,175,318,346,462,746
332,366,603,479,857,355
249,720,432,344,609,116
402,235,830,396,838,709
713,396,287,370,700,860
776,875,522,532,302,865
442,709,330,765,505,316
267,690,170,453,559,521
205,632,199,520,383,653
286,534,758,220,873,407
559,853,830,605,516,489
653,123,846,786,758,155
504,729,603,748,811,136
464,635,299,772,803,791
364,337,430,285,552,839
