510,603,179,658,287,204
635,352,217,622,473,467
333,539,240,632,676,384
537,604,237,546,430,842
297,413,591,295,101,201
682,396,249,618,740,631
403,333,210,597,389,582
337,488,555,440,287,450
489,717,219,607,257,359
214,771,575,304,565,456
712,118,575,438,854,275
660,876,174,211,661,464
782,783,533,550,153,768
358,743,144,756,326,728
665,226,441,588,208,152
334,295,638,226,605,430
264,231,750,680,850,409
524,781,278,777,349,458
317,272,692,412,207,819
290,486,159,261,417,611
330,407,372,658,836,151
574,721,244,357,599,580
369,347,406,722,317,310
721,497,769,704,259,279
776,167,288,467,702,436
713,832,382,225,244,588
