235,866,348,347,830,854
495,522,413,313,488,727
288,271,883,586,886,213
491,762,515,616,515,655
243,210,506,800,379,415
341,664,791,708,817,498
248,498,314,787,694,151
774,120,315,260,420,107
404,778,312,723,274,262
776,111,348,426,806,805
406,540,546,762,854,274
238,195,402,218,860,354
568,570,296,687,185,375
533,598,641,220,146,740
744,698,309,771,231,557
320,348,870,536,522,751
702,325,591,387,586,151
209,732,228,620,561,739
326,181,171,436,159,228
522,715,350,577,293,691
265,630,586,378,381,706
713,719,403,274,201,805
400,241,145,222,456,250
