304,128,354,418,660,321
264,306,586,247,253,380
635,473,253,338,838,233
530,662,806,323,271,784
775,674,346,254,656,477
243,206,404,578,492,212
208,825,495,560,696,789
302,651,534,617,463,471
390,214,312,679,760,646
226,799,522,416,208,380
788,106,193,338,256,790
222,447,838,694,736,435
619,336,821,667,300,496
391,574,381,579,663,105
378,897,326,556,775,352
360,142,766,773,318,895
619,349,446,653,327,688
613,188,328,211,710,359
389,268,339,531,450,313
777,562,167,694,178,471
641,231,168,233,289,139
593,896,839,732,849,442
701,190,900,577,480,270
205,553,264,375,867,279
264,309,784,779,757,482
713,707,106,437,510,425
479,317,232,418,263,139
362,408,475,397,694,528
502,691,123,637,844,625
689,633,721,264,522,407
