690,796,393,380,241,888
384,628,214,646,247,450
469,290,754,284,297,576
326,157,535,391,447,659
489,620,130,459,518,131
216,748,586,349,428,436
355,309,580,741,199,484
661,421,391,541,307,866
757,551,683,498,617,667
654,216,793,756,634,428
602,110,416,756,159,659
572,553,256,445,602,466
303,138,695,205,635,891
608,566,595,367,219,552
323,163,357,292,708,536
200,123,334,288,642,434
461,375,173,647,605,514
543,565,239,404,860,365
432,230,308,784,898,467
533,413,629,358,356,607
342,224,159,675,360,541
557,541,178,719,507,243
542,832,763,704,424,488
271,836,848,744,418,704
498,426,442,495,391,772
