765,268,223,222,760,826
597,647,870,764,274,175
428,502,426,757,183,180
221,814,201,281,740,410
745,498,104,630,350,158
550,379,359,752,105,434
537,521,140,599,497,334
200,738,215,362,891,662
276,319,684,322,691,292
328,334,486,447,348,868
696,378,370,380,580,344
357,265,248,657,564,733
378,342,359,370,797,455
457,381,311,344,652,897
315,682,764,619,294,449
775,254,311,203,290,416
434,294,516,649,402,435
423,673,144,213,175,829
727,524,327,374,406,163
651,633,643,290,628,561
440,436,719,778,238,471
